full_text,label
@SoftWarNews Makanya jgn sok hebat sendiri kalian para kafir eropa....nun jauh disana ada kekuatan besar yg bertumpu pada kebesaran sang pencipta alam semesta kalian ibarat sebutir pasir dibanding luasnya gurun pasir.....;,racist
@Bidhoof Lahh mcm aku kisah plk diorg menyampah dh mmg utk org islam kalau dia tak percaya Allah dia kafir so apa masalah?;,racist
@genXborn @noe_lalaland Ya melayu yang sokong hanya 11% jika ditolak umno iaitu golongan pentaksub liberal dan lgbt. Orang kafir pilih dia kerana ini menguntungkan mereka. Orang melayu yang ada akal tak akan pilih dia.;,racist
Goblok banget gua udah ketar-ketir buat berangkat ngampus ternyata kelasnya jam sembilan ðŸ˜€;,purposeful embarrassment
"""GOBLOK NGAPain si melki dikasi panggung dengan judul DEMOKRASI sementara dia aja melakukan KS, yang melanggar HAK ASASI. JD kalo melki ngebacot di sana, dia gak ngomong atas nama demokrasi, tapi atas nama EGO biar dianggep paling woke activist"";",purposeful embarrassment
"""@NdrewsTjan Itu berita tahun 2020, bantuan covid. Syarat jadi pendukung Wowo emang kudu goblok"";",purposeful embarrassment
@noe_corleone @habiburokhman Goblok... Setingan ini mah... Kn tanahnya sdh d dpt d thn sblm Jokowi jd presiden... ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£;,purposeful embarrassment
@und333rwaterb01 @yuliadi_febri @medioclubID Setuju klo selingkuh itu pemikiran goblok;,purposeful embarrassment
@tanyakanrl goblok betul;,purposeful embarrassment
@__AnakKolong @ListyoSigitP Bagaimana ini koq POLISI Goblok.. membentangkan spanduk opo bahaya ne. LAWAN !!!!!;,purposeful embarrassment
Goblok banget;,purposeful embarrassment
@M45Broo Program selanjutnya goblok gratis selama 5 tahun..ðŸ¤£ðŸ¤£;,purposeful embarrassment
@tanyakanrl this is a real proof klo ORG GOBLOK NYUSAHIN BANYAK ORG LAIN bahkan yg gada hubungannya sm dia. tetep disusain kntol lo org goblok;,purposeful embarrassment
@DokterTifa Enda udah dongkol sukai saja senangi saja wong yg dungu yg bego yg goblok yg gendeng itu para ketua umum partai perusak partai abal2 partai bikin bangkrut negara ini..lebih baik awakmu sekeluarga bubuhan partai2 brengsek dinegara ini bikin hancur saja bikin ga karu2an negara ini;,purposeful embarrassment
@kangdede78 Komisaris goblok dan ga punya malu ya begini..;,purposeful embarrassment
"""@Nadyamulyadi lah emg faktanya yg diamankan prabowo begitu, gaterima? yaudah lu laporin kepihak berwajib sama bukti kalo emg beliau dimata lu salah, jgn cmn asumsi dari yg lu baca wkwk goblok"";",purposeful embarrassment
@tanyakanrl goblok banget dah;,purposeful embarrassment
"""Yoi, udah tau gk mampu tapi tetep maksain kuliah, bukannya usaha nyari beasiswa tapi malah ngemis2, demo nyalahin pemerintah, udah goblok dan gk tau diri ðŸ¤­"";",purposeful embarrassment
"""Dikira ngedengerin lu marah marah ga cape apa anjir, tolol banget idup udh setengah gabisa ngapa-ngapain juga masi rese banyak tingkah goblok"";",purposeful embarrassment
"""@idextratime @bolacomID Lipetin gajinya goblok, dia berkontribusi"";",purposeful embarrassment
"""@sandyalfia96694 @alextham878 yg jadiin itu rakyat , bukan mega!!!! lagian siapa suruh mega merendahkan presiden di depan umum,.ada sebab ada akibat goblok!!!"";",purposeful embarrassment
@adesyahtueka @JarjitPacul @recehtapisayng Nambah 1 lagi nih yang goblok. Gua gak asal nuduh kayak lu. https://t.co/5n5TBpES1w;,purposeful embarrassment
"""@herculep638 Maksudnya kampanye Anies, tapi ntar videonya dipotong dan disebarkan oleh pendukung 02 siap2 para pendukung goblok 01 gigit jari"";",purposeful embarrassment
"""nih israhell kok di percaya bgt sih anjing, goblok lu ye"";",purposeful embarrassment
@MarshaM19 @folkshittmedia Lu otaknya udah ilang apa hati nurani lo yg ilang? Goblok bngt jadi orang;,purposeful embarrassment
mimpi balikan tandanya apa?  ya cuma mimpi goblok;,purposeful embarrassment
@tanyakanrl Emang goblok tuch orang nyusahin aja da hidup die susah...limpahin ke orangÂ² ga punya otak Bangke sampah;,purposeful embarrassment
"""@tanyakanrl Takut cuma gw yg goblok sendiri, baru masuk klsnya aja udah heda atmosfer"";",purposeful embarrassment
@yourfavmommaa @taehyungpalayo @youngmasterjcw @undipmenfess lu goblok kagak ngerti satire;,purposeful embarrassment
"""@idextratime @bliblidotcom Kalo STY bneran mundur, tetep PSSI nya yg tolol bin goblok"";",purposeful embarrassment
"""Dalam politik, yang pintar itu banyak dan bisa langsung dirubah, apalagi yang goblok?"";",purposeful embarrassment
"""@Hasbil_Lbs @aniesbaswedan Goblok, itu bahasa Ngasor ( jawa : ngasor / merendah krn tdk mau sombong/jumawa ), bukannya tdk optimis Dul, justru sebaliknya. Beda dgn kubu eloe yg sombongnya amit katanya 1 putaran, pdhal aslinya zonk ! Ngomongo."""""";",purposeful embarrassment
"""Kalau udah tau gk mampu tapi teteo maksain kuliah itu mah udah memang dasarnya goblok, bukan gara2 gk bisa belajar"";",purposeful embarrassment
@convomfs Otumu goblok bgt trua kamu kerja pake pa nder. Giliran gaji aja langsung pada ngemis2ðŸ˜­;,purposeful embarrassment
"""@DrEliDavid Itu bukan Hamas goblok, dasar Eli Dajjal urus gusi Lo nooh!!!"";",purposeful embarrassment
@convomf SUMPAAHHH IYA AKU JG PERNAH ADA ORG JUALAN MALAH KEPENCET REPLY ðŸ˜‚ KAN GOBLOK YA ORG JUALAN MASA DIKETAWAINðŸ˜­ðŸ˜­ðŸ˜­ðŸ’”;,purposeful embarrassment
"""Kesel bgt anjir liat mereka, kek orang goblok aja ðŸ˜žðŸ˜ž"";",purposeful embarrassment
Siapa disini yang minum madu biar pinter?? GOBLOK. Klo mau pinter mending makan sayur lodeh;,purposeful embarrassment
ini kok goblok ya jawabannya? ditanya apa jawabnya apa;,purposeful embarrassment
Dasar angkot goblok. Mampus kan lu skrg harus ganti motor yg lu tabrak gara2 ga sabaran;,purposeful embarrassment
"""@hardye76 yo ngene iki contone wong Indonesia, nang omahe sopo ae dianggep omah dewe.. ojok koyok wong goblok sing ke arab2an..clono cingkrang, jenggot arang, bathuk belang, dzikir jarang.. balekno wong Indonesia koyok biyen.."";",purposeful embarrassment
Goblok anjir buang beginian di rel;,purposeful embarrassment
@msaid_didu @Fahrihamzah Watak anak #ntb satu ini gila. Orangnya tolol. Goblok. Penjilat najis. @Fahrihamzah malu-maluin orang @NTB saja anda;,purposeful embarrassment
@MassRadenn @5t3v3n_P3g3L dia yg komen goblok kok gw yg malu yak;,purposeful embarrassment
ngajak ngedate doi duluan pake modus mau traktir eh dianya bego malah ngajakin orang lain yg akhirnya gue boncos karena harus bayarin sekitar 10 orang ðŸ˜­ðŸ˜­;,purposeful embarrassment
"""@detikcom Ternyata lingkaran Paslon 02 Bego. Bahkan pendukungnya, si @Heraloebss, kemampuannya hanya memfitnah, mencaci maki dan menghujat. Peerempuan tetapi seperti paslon 02 yang didukungnya, minus etika dan moral."";",purposeful embarrassment
lu sih bego udah ngobrol banyak dan click tentang banyak hal juga it cant guarantee kalo mereka bakalan berlaku sesuai sama omongannya kaliiii aneh lu;,purposeful embarrassment
"""@unmagnetism Gw jamin nih orang emang nggak boong. Yakin gw dia gak lg ngehalu Tapi ngomong kayak gini di podcast orang didenger manusia se Indonesia dengan gak pake mikir, gw kalo jadi bapak nya gw masukin lagi aja nih bocah ke sel Bego nya sampe gak keukur. Om penjaga gebukin, om!"";",purposeful embarrassment
"""@lucky_wmf @SoftWarNews Indonesia dijajah belanda, kok bisa2nya Indonesia di sebut teroris, bego banget pendukung idf ini."";",purposeful embarrassment
@Nicho_Silalahi Timbul tenggelam bersama pak lurah ga beres ga becus itu saja bodoh dungu bego dikira rakyat suka dgn tindak tanduk lu ga bakalam milik elu mau mati sukur saja biar elu kena siksa dialam kekal sana dicambuk malaikat setiap hari tdj ada yg nolong..hihihi rasakanlah permainan dunia;,purposeful embarrassment
"""@I_am_fakhri @wahidixe @tvOneNews Elu yg bego tp nyalahin org tu gimna konsepnya, bloon."";",purposeful embarrassment
@convomfs Bego juga ortumu ya kak ðŸ™;,purposeful embarrassment
Mas Mas yang dulu ngatain aku bego karena beli Apartemen di Green Pramuka City udah sampe kantor belum ya?  Pasti dia lagi macet-macetan dari rumah tapak-nya di Tangerang Selatan sana. ðŸ˜‡ðŸ˜‡ðŸ˜‡;,purposeful embarrassment
"""1. Diselingkuhin, aku gak bisa selingkuh kalau udah bucin bego 3. Sebel banget kalau udah selesai pekerjaan ditambah lagi ditambah lagi 4. Karena tidak fokus pada satu bidang yang ditekuni, dulu suka banyak hal akhirnya gak ada yang jadi 5. Gak sampai target, takut banget"";",purposeful embarrassment
@PartaiSocmed @susipudjiastuti nah masih mau lanjut? bego sih lu;,purposeful embarrassment
"""minimal lo jangan berani muncul ke publik dan berkegiatan deh. pelaku ks gatau malu. klo lu tau lu lagi dikenai sanksi, ya diem jangan muncul ke masyarakat bego. sokan menyuarakan rakyat, tp sendirinya kena kasus kekerasan seksual. gamalu?"""""";",purposeful embarrassment
"""@YuhonoTatang @arschive1998 @polisiidol dia nanya bg ngapain lo katain bego, dia nanya baik"""" dijawab baik"""" juga dong"""""";",purposeful embarrassment
@convomfs ya lo aja bego harusnya minggat pisah rumah....itu cara terbaik...dan tanggung jawab keluarga itu anak lagi2...lo kasih ke keluarga semampunya saja...;,purposeful embarrassment
GUE BARU TAU WKWKWKWKWK BEGO BGT;,purposeful embarrassment
"""@PratamaR07 @Bolalob Kok bego? Gua bukan ngebelain ala2 buzzer nih, tapi klo lu ngikutin perkembangannya VAR barangnya ada kok, pelatihan wasitnya ada, trainer dari jepang ada, cuma SDM wasitnya aja yg belum siap dgn teknologinya."";",purposeful embarrassment
"""@Txtmlbb Padahal bagus dibikin badan hukum biar kena pajak dan pajaknya bisa masuk ke negara, malah anehnya banyak yang kontra makanya jangan main game terus jadi bego kan otaknya."";",purposeful embarrassment
"""@bengkeldodo @4Y4NKZ @Ndons_Back @An4Julie @OppungTp @icikiwir_08 @mas_veel @masrezs_ @DolangMas @are_inismyname @florieliciouss Taek2 di kebumen aja 02 kalah masa iya mo menang gratisan? Knp sih pendukung bowo hrs bego, @budimandjatmiko"";",purposeful embarrassment
@mlbbfess Sebenenrya mah mau hero apapun asal bisa maennya gamasalah. Ini kan random yah kadang legend 1 masuk ranked eh temen2nya pada skill epik. Jdi ikutan bego nanti;,purposeful embarrassment
@Indostransfer Turnamen aneh? Lu ga liat piala Eropa? Kan sama ada sistem 3 terbaik bego lu;,purposeful embarrassment
"""@VnoYogaa @mahas1sw4 ya dimana2 juga bayar monyet mana ada ngutang, mikir dong lu bego"";",purposeful embarrassment
@YuhonoTatang @BintangLim12 @polisiidol ga ngaca lu bg klo lu jg wota bego ? tiap postingan si polisi jg komenâ€ mulu mana typingan lo gajelas anying;,purposeful embarrassment
@Eggy_ok buat airpods BEGO BUKAN BUAT MOBILAN BTW RIA MASUK GC LOREN HOTWHEELS;,purposeful embarrassment
Pintu Terlarang  Kayaknya gw yg bego deh;,purposeful embarrassment
"""Memangnya jual bakso pinggir jalan. Demand nikel dsb itu ada di Amerika, China, Korea, dsb. Kalau mereka gak mau beli nikel Indonesia krn buruknya produksi thd lingkungan maka harga akan ambruk. Terbukti nikel terjun bebas dari $36000 skrg hanya $16500. Jng bego deh !!"";",purposeful embarrassment
@dewaumbas @MuhiqR @keuangannews_id @choymarkochoy @NohCeukenohhh @Putri96960977 @Malika6027 @stacitarpeta18 @AnKiiim_ @Azri_Ardhani @BarisanOpOsisi @doelpaten Yg paling bego ya eluuu;,purposeful embarrassment
"""@detikcom Ini bego asli, menaker itu bukan media penyedia pekerjaan, gitu aja lo gak paham"";",purposeful embarrassment
Yuk pak dos kuat yuk buat bertobat memperbaiki diri agar lebih baikðŸ¤­ dah cukup gue bego bego in lo soalnya abis ini lonya yang tersakiti sampe traumaðŸ˜­ðŸ˜­;,purposeful embarrassment
"""@Bambang_Budimab @pici_jajan @tvOneNews woi yang di maksud itu kakeknya pak anies, bego bnget gitu aja ga paham. Btw, orang yang lu kata katain itu udah punya banyak prestasi dan kontribusi untuk indonesia... nah lu yang ngaku indonesia asli udah punya kontribusi apa hah?"";",purposeful embarrassment
Bego banget baru keinget kalau ban bagian dari suspensi;,purposeful embarrassment
"""@bluberimint loe tolol, loe kebanyakan khilaf bego"""" gini mungkin"""""";",purposeful embarrassment
@dewaumbas @MuhiqR @keuangannews_id @choymarkochoy @NohCeukenohhh @Putri96960977 @Malika6027 @stacitarpeta18 @AnKiiim_ @Azri_Ardhani @BarisanOpOsisi @doelpaten Yang bego itu yang sdh dikibulin hampir 10 tahun dan masih pengen dilanjutkan...;,purposeful embarrassment
@aidenxvx @tanyakanrl ini bego si;,purposeful embarrassment
@kegblgnunfaedh Punya mobil tapi bego. tuh jalur garis kuning ga putus2;,purposeful embarrassment
Ya Allah semoga aku ga bego bego banget pas ujian;,purposeful embarrassment
"""@yusuf_dumdum Galfok ke jargonnya...'kami sdh pintar...' berarti sebelumnya bego...ðŸ˜‚ðŸ˜‚ Lagian org pintar ga ada yg ngaku pintar, artinya ya masih bego...ðŸ˜‚ðŸ˜‚ðŸ˜‚"";",purposeful embarrassment
Emangnya kita bego? @jokowi;,purposeful embarrassment
"""@nAyeoUsloVed gatau anjg random bngt kenala aja kaga gua cok, abis sholat mau ke kls lg pas ditangga ketemu sm mereka yg satu blng gt yg st bilang eh jangan bego"""""""""";",purposeful embarrassment
@suratma777 @Buahterlar42596 @Valhallaah Ayo kafir pemakan babi terus lah alergi Fakta https://t.co/skkPwV4EwU;,purposeful embarrassment
DEMI ALLAH YG NYURI SEPATU GUE BABI BGT HIDUPNYA GA BEEKAH ANJINGGGG ITU DUA DUAANYA SEPATU PUNYA GUE GAK PUNYA SEPATU LAGI ANJINGGGGGGGGG;,purposeful embarrassment
"""Bukan cintanya yg habis di orang lama. Tapi effortnya?"""" Wkwkwk apa bedanya babi? Anj juga ko"""""";",purposeful embarrassment
@mitissimuss Iya kan padahal banyak jenis loh... cuma dwaekki yang harusnya gak bisa di tiruðŸ¤£ siluman babi klinci;,purposeful embarrassment
"""@oktorivan @Valhallaah Imigrant apanya kafir @oktorivan, kau mau tuduh pejabat gereja sebagai Imigran yg narasinya mengarah ke muslim? kebiasan para kafir pemakan babi seperti ini"";",purposeful embarrassment
"""nendang bangku gw dr belakang mulu si babi anjing, sengaja ya tai???"";",purposeful embarrassment
@bharianmy Macam babi;,purposeful embarrassment
@PasukanPawkemon Ada benarnya tp masa ak babi blonde?ðŸ˜žðŸ˜ž;,purposeful embarrassment
"""@Dianingsih199 @Apokrifa23 @Mundiwangi4 Yang jelas negara-negara pemakan babi IQ nya lebih tinggi, lebih sejahtera dari negara peminum kencing unta om https://t.co/0HaFOzEKSJ"";",purposeful embarrassment
Woy ara babi lu ya balikin duit orang;,purposeful embarrassment
IH BABI;,purposeful embarrassment
Owner anjing ni semua macam babi.;,purposeful embarrassment
Babi lah gw udh lupa sama vegaspete trus tbtb LEWAT AJE FYP apa gw nangis skrg;,purposeful embarrassment
"""Heh anjing babi, lo kalo pny hati item busuk bgt munafik biadab.. gausah baikan2 sm orang yeee, terbuka utk semua org yg berselisih sama lo. Krn lo sependendam itu sm org, dan semanipulatif itu. Babiiiiiiii"";",purposeful embarrassment
"""Trus dia ngata2in gue krn gue jelek2in dia di orang lain. Lah babi! lo lupa ya lo duluan ya jelek2in gue di anak2 lain, sampe ada temen lo yg nyuruh anak baru gaboleh deket sm gue? trus lo pikir gue nih kek malaikat gitu ya, sabar sabar sabar sm tingkah lo? dih berak!"";",purposeful embarrassment
NGAPAAAIIINNNN SIH BABI https://t.co/zF99OtBMWb;,purposeful embarrassment
NGAPAIN NGECHT LG SIH BABI ðŸ–•ðŸ–•ðŸ–•ðŸ–•;,purposeful embarrassment
@barubikinlol Bigul itu babi guling;,purposeful embarrassment
OOHHH MY ANGEL ANGEL BABI ANGELðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ¤ŸðŸ»;,purposeful embarrassment
Sial punya pempuan. Suruh orang shut-up. Pergi mampus la babi.;,purposeful embarrassment
"""UDAH SELESAI BIKIN VIDEO PRESENTASI, ANIMASI &amp VIDEO2 MATERI JG UDH MASUK SEMUA, TRUS TERNYATA GUE SALAH MATERIIII. BABI BABI. DONGO BGTTTðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­"";",purposeful embarrassment
EXOLs otw nyambi jadi babi ngepet/piara tuyul kelas kakap because... ðŸ’¸ðŸ’¸ðŸ’¸ðŸ˜­ðŸ˜­ðŸ˜­;,purposeful embarrassment
"""RESULT OREGON 05 RABU, 31 JANUARI 2024 &gt &gt *1429* &lt &lt SAHH SHIO : *BABI* Selamat untuk member densustoto yang telah JP ðŸ™ðŸ¥³ https://t.co/SqtPZAdurp #oregon05 #keluaranoregon05 #dataoregon05 #densustoto #daftardensustoto #DensustotoÂ #logindensustoto https://t.co/gIGHymbydk"";",purposeful embarrassment
@guerrillxa Lah? Itu kan kelinci babi awkwkwk. Bukan kelinci doang. Fav lo yang copas.;,purposeful embarrassment
urusin anak kau lah neymar babi;,purposeful embarrassment
emg lu babi @SMTOWNGLOBAL;,purposeful embarrassment
@BMVFM Orang kita suka makan ...makanan yg disediakan olih warga asing yg bukan berugama Islam.memang tak halal ....selain babi cara penyediaan dan tahap bersih juga diambil kira...bila diviral kan...kalut lah nak makan...walau tahu tidak halal dimakan.;,purposeful embarrassment
@WidasSatyo Konten yg dibenci si babi guling dari bali;,purposeful embarrassment
ni first time setuju dengan hang ramai babi penjilat dia tak ingat ke apa diorang buat kat tasik chini;,purposeful embarrassment
"""@BagasWdykt Depok pride gengs, tempatnya babi ngepetðŸ˜­ðŸ‘"";",purposeful embarrassment
@LapasZimb1bwe Elu babi nya;,purposeful embarrassment
@AwjNurul @Rui_taaaa @fessthai Aku juga vote si keng babi itu;,purposeful embarrassment
"""@nabiiiita hm apalagi babi disatuin kecap, beh enak tuh"";",purposeful embarrassment
"""@PebriyanDwi_P @rudisuratman @_Ley777 @kegblgnunfaedh Dari awal itu udh jelas yg sakit Elu, gue aja gak peduli Elu mau ngewe sama Babi ataupun sama Jin(klo ada) ken itu urusan pribadi Elu. Lah ini Elu maksaÂ² gue udah jelas Elu yg punya penyakit mental ðŸ˜‚ðŸ˜‚"";",purposeful embarrassment
ini gw baca di berita  istrinya yg nemenin dia dari pas muda sampe hamil anak ke-4 kurang baik apa coba oalah JANCOK KON KYLE WALKER!!   lauryn jg GUOOOBBLOOOKK BANGET lu jdi cewek murahan banget mbak babi kau puki!!;,purposeful embarrassment
@kolakwafell @folkshittmedia Balapan liar kek gini ngerugiin org2 komunitas tai babi;,purposeful embarrassment
Babi kau cepetan balikin duitnya dabin @_iknowrem;,purposeful embarrassment
BABI KAU KYLE WALKER ANJING COWOK BRENGSEK UDAH DIKASIH ISTRI CANTIK SEXY GITU MASIH SELINGKUH AJA LU TAI!! ANJING YA ITU PENIS LU DI KEBIRI AJA ANJING;,purposeful embarrassment
@middnightblu LU YANG NOLAK GWWWWWWW BABI;,purposeful embarrassment
gajadi siap anjing sidang babi;,purposeful embarrassment
